date,price,capital,shares,portfolio_value
2024-04-25,1.8031757343931027,8380.0,889.4307800452922,9983.8
2024-04-26,1.738549852636933,7000.0,1675.2581165049432,9912.519751578495
2024-04-29,1.7195793581062995,9851.931883875519,0.0,9851.931883875519
2024-04-30,1.7336483705716998,8150.931883875519,971.3561461397595,9834.921883875519
2024-05-01,1.6705653684483839,6754.931883875519,1798.644934775211,9759.685822046089
2024-05-02,1.708778369681906,9797.682587564505,0.0,9797.682587564505
2024-05-03,1.79300990270087,8094.6825875645045,940.3015552007648,9780.652587564504
2024-05-06,1.8434761936002673,6754.6825875645045,1659.9202867066924,9814.706119382423
2024-05-07,1.8373946994639465,5666.6825875645045,2246.1416360521794,9793.731323892056
2024-05-08,1.7170379001832412,4750.6825875645045,2774.2837346646925,9514.232905845689
2024-05-09,1.7232102497090729,9483.550013068114,0.0,9483.550013068114
2024-05-10,1.786111541053367,7849.550013068114,905.6881179133852,9467.210013068114
2024-05-13,1.8303149040355604,6544.550013068114,1611.550260625249,9494.1944736929
2024-05-14,1.6524120184270714,5482.550013068114,2247.820142637368,9196.875032024554
2024-05-15,1.625545137955008,9099.943785891006,0.0,9099.943785891006
2024-05-16,1.4181430585618866,7437.943785891006,1160.2355559731402,9083.323785891007
2024-05-17,1.482042928196385,9140.267497655279,0.0,9140.267497655279
2024-05-20,1.4037111785347198,7309.267497655279,1291.355392561736,9121.95749765528
2024-05-21,1.3793857559857146,9072.731959726128,0.0,9072.731959726128
2024-05-22,1.2426910524850836,7119.7319597261285,1555.8734378376062,9053.201959726128
2024-05-23,1.2416926126939487,9032.329348235326,0.0,9032.329348235326
2024-05-24,1.1830572311855192,6872.329348235326,1807.5203326022952,9010.729348235325
2024-05-28,1.1897740205530698,9001.364674253464,0.0,9001.364674253464
2024-05-29,1.23043748582107,6754.364674253464,1807.9179362091468,8978.894674253464
2024-05-30,1.0785847516725318,5124.364674253464,3304.0451505960364,8688.057392523922
2024-05-31,1.2089258103655172,9078.76668081035,0.0,9078.76668081035
2024-06-03,1.0993702765073439,6848.7666808103495,2008.149617264327,9056.46668081035
2024-06-04,1.1643593028234187,9163.592292250127,0.0,9163.592292250127
2024-06-05,1.1354046873795745,6826.592292250127,2037.7139760975251,9140.222292250128
2024-06-06,1.2367911306287156,5041.592292250127,3466.5324372241666,9328.968864645722
2024-06-07,1.1010948669192195,3831.592292250127,4554.449596761595,8846.473364886628
2024-06-10,1.0067882190984647,8371.10482876248,0.0,8371.10482876248
2024-06-11,0.9543250486167975,5902.10482876248,2561.2971215025664,8346.41482876248
2024-06-12,0.8298837732811107,8006.427959252211,0.0,8006.427959252211
2024-06-13,0.9490605604907286,5141.427959252211,2988.586943844147,7977.777959252211
2024-06-14,0.9967131042966735,3532.4279592522107,4586.7499389258965,8104.101729511618
2024-06-17,0.9511481569634401,2480.4279592522107,5681.721308396817,7884.586710113749
2024-06-18,0.9826442303303425,8007.707514672897,0.0,8007.707514672897
2024-06-20,0.9145691677504212,5587.707514672897,2619.5941045038544,7983.507514672897
2024-06-21,0.8805316364604605,7871.276643536841,0.0,7871.276643536841
2024-06-24,0.8534831837084446,5216.276643536841,3079.674034793749,7844.726643536841
2024-06-25,0.7416584810976071,7477.502346788504,0.0,7477.502346788504
2024-06-26,0.7601749756788246,4483.502346788504,3899.181234364022,7447.562346788503
2024-06-27,0.8808039256308547,2732.502346788504,5867.258293918939,7900.406484762497
2024-06-28,0.8777178893670082,1811.502346788504,6906.0772710022975,7873.089912898108
2024-07-01,0.7976615492934674,1198.502346788504,7666.888670946971,7314.084642316598
2024-07-02,0.7922156273865154,7211.593075159758,0.0,7211.593075159758
2024-07-03,0.8431357797362593,4508.593075159758,3173.830436702696,7184.563075159758
2024-07-05,0.7412047581463298,2920.593075159758,5294.86377158265,6845.17129639344
2024-07-08,0.6788479066437547,6479.056190589468,0.0,6479.056190589468
2024-07-09,0.6411797607491593,3645.0561905894683,4375.777545944129,6450.716190589468
2024-07-10,0.649076423688728,6456.868090564534,0.0,6456.868090564534
2024-07-11,0.5815459394495949,3502.868090564534,5028.768669192085,6427.328090564534
2024-07-12,0.578278330905796,6381.815763570976,0.0,6381.815763570976
2024-07-15,0.46872293554669187,3104.815763570976,6921.423625699293,6349.045763570975
2024-07-16,0.46663533907398036,6302.298815419295,0.0,6302.298815419295
2024-07-17,0.3557182901143016,2291.2988154192954,11163.018912308526,6262.188815419295
2024-07-18,0.3357496327906719,6001.79852105578,0.0,6001.79852105578
2024-07-19,0.2082223211911387,692.7985210557799,25241.818311953746,5948.70852105578
2024-07-22,0.24098912351957028,6714.972155383372,0.0,6714.972155383372
2024-07-23,0.32367763840661085,6714.972155383372,0.0,6714.972155383372
2024-07-24,0.33602192196106606,552.9721553833724,18154.70837258896,6653.3521553833725
2024-07-25,0.19914564618048253,64.97215538337241,20580.671527023962,4163.5232854608175
2024-07-26,0.2494304340494619,5147.0835290782115,0.0,5147.0835290782115
2024-07-29,0.21947737881448265,5147.0835290782115,0.0,5147.0835290782115
2024-07-30,0.24416594592339302,5147.0835290782115,0.0,5147.0835290782115
2024-07-31,0.9846411099126124,5147.0835290782115,0.0,5147.0835290782115
2024-08-01,1.117251337358262,3595.0835290782115,1375.232186907024,5131.563529078211
2024-08-02,1.0049729117961472,2640.0835290782115,2316.0038125921737,4967.604624349947
2024-08-05,1.1025471681607013,5168.051939650872,0.0,5168.051939650872
2024-08-06,1.0851199687601296,3776.0519396508716,1269.9793936836402,5154.131939650872
