timestamp,action,price,shares,amount,fee,capital_after,shares_after,portfolio_value
2024-04-25,buy,1.7371848237166625,2472,4337.264093069865,42.9432088422759,5662.735906930135,2472,9957.056791157724
2024-04-26,buy,1.718219906359836,1452,2519.8038570748267,24.94855304034482,3142.932049855308,3924,9885.226962411303
2024-04-29,hold,1.732284782647991,0,0.0,0.0,3142.932049855308,3924,9940.417536966024
2024-04-30,hold,1.6692203264232297,0,0.0,0.0,3142.932049855308,3924,9692.952610740062
2024-05-01,hold,1.7074220933397335,0,0.0,0.0,3142.932049855308,3924,9842.856344120422
2024-05-02,hold,1.791628862961048,0,0.0,0.0,3142.932049855308,3924,10173.28370811446
2024-05-03,hold,1.8420803171741755,0,0.0,0.0,3142.932049855308,3924,10371.255214446774
2024-05-06,hold,1.8360006109485363,0,0.0,0.0,3142.932049855308,3924,10347.398447217365
2024-05-07,hold,1.7156791956050994,0,0.0,0.0,3142.932049855308,3924,9875.257213409717
2024-05-08,hold,1.721849730509491,0,0.0,0.0,3142.932049855308,3924,9899.470392374551
2024-05-09,hold,1.7847325293767473,0,0.0,0.0,3142.932049855308,3924,10146.222495129665
2024-05-10,hold,1.8289228969234343,0,0.0,0.0,3142.932049855308,3924,10319.625497382865
2024-05-13,hold,1.651072313341768,0,0.0,0.0,3142.932049855308,3924,9621.739807408405
2024-05-14,hold,1.6242133315178815,0,0.0,0.0,3142.932049855308,3924,9516.345162731475
2024-05-15,hold,1.4168722266788398,0,0.0,0.0,3142.932049855308,3924,8702.738667343076
2024-05-16,hold,1.4807533102622623,0,0.0,0.0,3142.932049855308,3924,8953.408039324426
2024-05-17,hold,1.402444589509082,0,0.0,0.0,3142.932049855308,3924,8646.124619088947
2024-05-20,hold,1.3781263184399322,0,0.0,0.0,3142.932049855308,3924,8550.699723413602
2024-05-21,hold,1.2414718020898612,0,0.0,0.0,3142.932049855308,3924,8014.4674012559235
2024-05-22,hold,1.2404736558320466,0,0.0,0.0,3142.932049855308,3924,8010.550675340259
2024-05-23,hold,1.1818555126572503,0,0.0,0.0,3142.932049855308,3924,7780.533081522358
2024-05-24,hold,1.1885703273423978,0,0.0,0.0,3142.932049855308,3924,7806.8820143468765
2024-05-28,hold,1.2292218378765338,0,0.0,0.0,3142.932049855308,3924,7966.398541682826
2024-05-29,hold,1.0774137472184444,0,0.0,0.0,3142.932049855308,3924,7370.703593940484
2024-05-30,hold,1.207716486681674,0,0.0,0.0,3142.932049855308,3924,7882.011543594197
2024-05-31,hold,1.0981931612750435,0,0.0,0.0,3142.932049855308,3924,7452.242014698579
2024-06-03,hold,1.163163081336681,0,0.0,0.0,3142.932049855308,3924,7707.183981020444
2024-06-04,hold,1.1342169783184133,0,0.0,0.0,3142.932049855308,3924,7593.599472776762
2024-06-05,hold,1.235573614763375,0,0.0,0.0,3142.932049855308,3924,7991.322914186791
2024-06-06,hold,1.0999172446711185,0,0.0,0.0,3142.932049855308,3924,7459.007317944777
2024-06-07,hold,1.0056383222512586,0,0.0,0.0,3142.932049855308,3924,7089.056826369247
2024-06-10,hold,0.9531905755225022,0,0.0,0.0,3142.932049855308,3924,6883.251868205607
2024-06-11,hold,0.8287858849274068,0,0.0,0.0,3142.932049855308,3924,6395.087862310453
2024-06-12,hold,0.947927635113876,0,0.0,0.0,3142.932049855308,3924,6862.600090042157
2024-06-13,hold,0.9955661694527133,0,0.0,0.0,3142.932049855308,3924,7049.5336987877545
2024-06-14,hold,0.9500146178499057,0,0.0,0.0,3142.932049855308,3924,6870.789410298337
